Name,Info,Source
Bars_Rank,"Number of bars per 10,000 workers",http://cityobservatory.org/best-bar-cities/
Museums_Rank,"Number, type, and quality of museums",http://www.ranker.com/list/u-s-cities-with-the-best-museums-07/travelgrrl?format=SLIDESHOW&page=4
Sports_Rank,Ranked by a variety of factors related to sporting events and professional franchises,http://fansided.com/2015/08/03/ranking-the-best-sports-cities-in-the-united-states/2/
Annual_Income_Rank,Median Annual Earnings,http://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_14_5YR_S2001&prodType=table
Monthly_Rent_Rank,Median Rent,http://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_14_5YR_B25064&prodType=table
Rent_Income_Ratio_Rank,A ratio of annual income to monthly rate,
Price_of_Weed_Rank,Dollars per Ounce of Weed,http://www.priceofweed.com/
Farmers_Markets_Rank,"Farmer's Markets per 100,000 People",http://priceonomics.com/the-crunchy-cities-index/
Pet Friendly_Rank,"Landlord tolerance, pet fees, and concentration of pet services and stores",http://www.trulia.com/blog/trends/pet-rental-markets/
LGBTQ_Friendly_Rank,A measure 16 different factors related to LGBTQ lifestyle,http://www.vocativ.com/culture/lgbt/vocativ-queer-index/#DesMoines
Food_Rank,"Ranking based on the cities' finest restaurants, signature dishes, traditional cuisine, and strength of the dining culture",https://www.thrillist.com/eat/nation/best-us-cities-for-food-best-food-cities-in-america
Music_Rank,Reader input ranking of best/favorite music scenes in the US,http://www.travelandleisure.com/slideshows/americas-best-cities-for-music-scenes
Safety_Rank,"Violent crime, workplace fatality rates, traffic death rates, and natural disaster risk",http://www.forbes.com/2009/10/26/safest-cities-ten-lifestyle-real-estate-metros-msa_chart.html
Shopping_Rank,"Number of retail locations, shopping centers, and sales tax",http://www.forbes.com/2010/12/13/best-cities-for-shopping-forbes-woman-time-retail-walmart-sales-tax_slide_23.html
Fitness_Rank,A set of 24 metrics from budget and local participation to number of sports facilities and quality of outdoor environment,https://wallethub.com/edu/best-and-worst-cities-for-an-active-lifestyle/8817/
Parks_Rank,"Accessibility, acreage, facilities, and investment",http://parkscore.tpl.org/rankings.php
Transit_Rank,"""Usefulness"" of transit routes based on frequency, type of route, and distance to nearest stop on the route",https://www.walkscore.com/cities-and-neighborhoods/
Bike_Rank,"Ranked based on bike infrastructure, hills, road connectivity, and number of bike commuters",https://www.walkscore.com/cities-and-neighborhoods/
Walk_Rank,Ranked by pedestrian friendliness and distance to amenities,https://www.walkscore.com/cities-and-neighborhoods/
